movie_id	title	rating	votes	gross	countries
2025748	"A Nightmare on Elm Street: The Dream Child"	5.0	23765	"$22,168,359 (USA)"	USA
2026168	"A Passage to India"	7.4	11067	"$27,187,653 (USA)"	USA
2026359	"A Perfect Murder"	6.4	56963	"$67,638,368 (USA)"	USA
2026383	"A Perfect World"	7.5	49384	"$31,160,784 (USA)"	USA
2027014	"A Prairie Home Companion"	6.8	18257	"$20,342,852 (USA)"	USA
2027598	"A Rage in Harlem"	5.9	1244	"$10,438,504 (USA)"	USA
2028028	"A River Runs Through It"	7.3	35277	"$43,440,294 (USA)"	USA
2028878	"A Shock to the System"	6.7	2736	"$3,417,056 (USA)"	USA
2028998	"A Shot in the Dark"	7.6	16844	"$12,368,234 (USA)"	USA
2029136	"A Simple Twist of Fate"	6.3	3661	"$3,428,774 (USA)"	USA
2029522	"A Soldier's Story"	7.2	5741	"$21,821,347 (USA)"	USA
2029865	"A Star Is Born"	7.7	4666	"$4,360,000 (USA)"	USA
2029866	"A Star Is Born"	7.8	9503	"$4,355,968 (USA)"	USA
2029869	"A Star Is Born"	6.5	4308	"$80,000,000 (USA)"	USA
2030088	"A Stranger Among Us"	5.7	2489	"$12,282,994 (USA)"	USA
2030149	"A Streetcar Named Desire"	8.1	66973	"$8,000,000 (USA)"	USA
2031153	"A Time to Kill"	7.4	81162	"$108,766,007 (USA)"	USA
2031725	"A Troll in Central Park"	5.2	3402	"$71,368 (USA)"	USA
2032213	"A View to a Kill"	6.3	55638	"$50,327,960 (USA)"	USA
2032556	"A Walk in the Clouds"	6.6	20872	"$50,012,507 (USA)"	USA
2034958	Abandon	4.8	7407	"$10,727,683 (USA)"	USA
2035950	"About a Boy"	7.1	126967	"$41,385,278 (USA)"	USA
2036035	"About Last Night..."	6.1	10024	"$38,702,310 (USA)"	USA
2036064	"About Schmidt"	7.2	97011	"$65,016,287 (USA)"	USA
2036149	"Above the Law"	5.9	18902	"$18,869,631 (USA)"	USA
